Country	Medals
United States	46
Great Britain	27
China	26
Russia	19
Germany	17
Japan	12
France	10
South Korea	9
Italy	8
Australia	8
Netherlands	8
Hungary	8
Brazil	7
Spain	7
Kenya	6
Jamaica	6
Croatia	5
Cuba	5
New Zealand	4
Canada	4
Uzbekistan	4
Kazakhstan	3
Colombia	3
Switzerland	3
Iran	3
Greece	3
Argentina	3
Denmark	2
Sweden	2
South Africa	2
Ukraine	2
Serbia	2
Poland	2
North Korea	2
Belgium	2
Thailand	2
Slovakia	2
Georgia	2
Azerbaijan	1
Belarus	1
Turkey	1
Armenia	1
Czech Republic	1
Ethiopia	1
Slovenia	1
Indonesia	1
Romania	1
Bahrain	1
Vietnam	1
Chinese Taipei	1
Bahamas	1
C™te d'Ivoire	1
Independent Olympic Athletes	1
Fiji	1
Jordan	1
Kosovo	1
Puerto Rico	1
Singapore	1
Tajikistan	1
